,node_sourcebus.3_harmonico_60,node_sourcebus.3_harmonico_180,node_sourcebus.3_harmonico_300,node_sourcebus.3_harmonico_420,node_sourcebus.3_harmonico_540,node_sourcebus.3_harmonico_660,node_sourcebus.3_harmonico_780,node_sourcebus.3_harmonico_900,node_sourcebus.3_harmonico_1020,node_sourcebus.3_harmonico_1140,node_sourcebus.3_harmonico_1260,node_sourcebus.3_harmonico_1380,node_sourcebus.3_harmonico_1500,node_sourcebus.3_harmonico_1620,node_sourcebus.3_harmonico_1740,node_sourcebus.3_harmonico_1860,node_sourcebus.3_harmonico_1980,node_sourcebus.3_harmonico_2100,node_sourcebus.3_harmonico_2220,node_sourcebus.3_harmonico_2340,node_sourcebus.3_harmonico_2460,node_sourcebus.3_harmonico_2580,node_sourcebus.3_harmonico_2700,node_sourcebus.3_harmonico_2820,node_sourcebus.3_harmonico_2940
73,-606.4577920867279,-0.0123714478380665,-0.0265091645725757,-0.0093094771416491,-0.0098860975084473,-0.0138028447435753,-0.0193627136488144,-0.0269344783478791,-0.037543595891265,-0.0529974559433838,-0.0763068391523333,-0.1117081041368983,-0.1604961701710807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,-12183.7217568794,-0.0126050929697273,-0.0258861090658477,-0.0068548975048941,-0.0076610277621769,-0.0104155294974538,-0.0139294939152811,-0.0183049093349296,-0.0239397680814731,-0.0315271725301779,-0.0422042644035507,-0.057590555465957,-0.0784581066937446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,-632.4228721349099,-0.0128038796864877,-0.0280521739734354,-0.0083618073850803,-0.0077687319659125,-0.0104753399889929,-0.0143936627305829,-0.0196140195988225,-0.0267671578008476,-0.0370333931381089,-0.0524574386640747,-0.076142407180752,-0.1099931438766518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,-12175.231936037764,-0.0126334085455642,-0.025957320804812,-0.0067572082609261,-0.0075261130362432,-0.0102485186767026,-0.013725722131292,-0.0180567074477432,-0.0236361704052876,-0.0311523060022905,-0.0417349396683562,-0.0569949890354867,-0.0777071111700514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,12859.81581778789,0.0272215385745989,0.0574662249619638,0.0160725089240455,0.0153064718633603,0.0194163487793746,0.0245829395159485,0.0303673308480563,0.03674064554513,0.0437133039215964,0.0512509967759304,0.0594398878473972,0.0699364939242319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,-685.7611987016338,-0.01331829461849,-0.0296773524599577,-0.006126155534029,-0.0043999924980793,-0.0061920947585452,-0.009028049782743,-0.0128519787943337,-0.0181137516381482,-0.0256979871353917,-0.0371529369122212,-0.0548519973872069,-0.0803367103201752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,-11909.610799056472,-0.0132822463966404,-0.0275073490707141,-0.004318914108061,-0.0042356870545235,-0.0062208638554808,-0.0088506475644885,-0.0121522864698113,-0.0164367986122861,-0.0222620066867011,-0.0305520668477636,-0.0426455610988888,-0.0592715221148331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,12700.236163738911,0.0289199417177515,0.0614051358702087,0.0112540392982423,0.008648376317965,0.0114631729868456,0.0152892205942225,0.0196066520347611,0.0243636073716455,0.0295643459562892,0.0351802983896123,0.0412681063668169,0.0490936711599615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,-687.1384172619013,-0.0133314676349954,-0.0297195341776598,-0.0060698743307408,-0.0043142930074613,-0.0060823427047077,-0.0088895613032138,-0.0126760798667379,-0.0178867306756911,-0.0253978475918442,-0.0367436970647209,-0.0542769183529055,-0.0795279606181258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,-11902.959814356363,-0.0132986900554947,-0.0275469914132936,-0.0042571063178825,-0.0041517763692602,-0.0061175702381634,-0.0087248182898783,-0.011998745381486,-0.0162479259515077,-0.0220263348134675,-0.0302519885185445,-0.0422551328618949,-0.058762521533555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
