,node_sourcebus.3_harmonico_60,node_sourcebus.3_harmonico_180,node_sourcebus.3_harmonico_300,node_sourcebus.3_harmonico_420,node_sourcebus.3_harmonico_540,node_sourcebus.3_harmonico_660,node_sourcebus.3_harmonico_780,node_sourcebus.3_harmonico_900,node_sourcebus.3_harmonico_1020,node_sourcebus.3_harmonico_1140,node_sourcebus.3_harmonico_1260,node_sourcebus.3_harmonico_1380,node_sourcebus.3_harmonico_1500,node_sourcebus.3_harmonico_1620,node_sourcebus.3_harmonico_1740,node_sourcebus.3_harmonico_1860,node_sourcebus.3_harmonico_1980,node_sourcebus.3_harmonico_2100,node_sourcebus.3_harmonico_2220,node_sourcebus.3_harmonico_2340,node_sourcebus.3_harmonico_2460,node_sourcebus.3_harmonico_2580,node_sourcebus.3_harmonico_2700,node_sourcebus.3_harmonico_2820,node_sourcebus.3_harmonico_2940
40,-7731.844380427564,0.0095332541739481,-0.0074975001148414,-0.0007560028542303,0.0077564134396625,0.013991318422378,0.0197921992264169,0.0257961602600075,0.0323244788892751,0.0395126826660769,0.0471113510605865,0.0537291204733752,0.0551608167939787,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
42,-6674.450239183574,-0.0220725285258028,0.01218344489427,0.0034232239689223,-0.0147577359750997,-0.0279701636145123,-0.0399833884135268,-0.0522373179908205,-0.0656107447955515,-0.0810091560950533,-0.0998144703096102,-0.1247116712512931,-0.1612301846229156,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
44,14779.971480339516,0.0095882567256499,-0.005233865175142,-0.0036756085732391,0.0056355293192109,0.0124221237276087,0.0186087327425928,0.0249631279484375,0.0318323146316608,0.0392223549663091,0.0463217894472749,0.0498419459006111,0.0400862614985264,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
46,-7927.47936282699,0.0097679643030236,-0.0078236876595912,-0.0009358800476861,0.007785660860718,0.014158200577366,0.0200796211026637,0.0262051460621106,0.0328645881397393,0.0401966606362583,0.0479449375682407,0.0546815781627293,0.0560925904593921,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
48,-6878.514642101977,-0.0227607041674182,0.0128466238775123,0.0039116683868465,-0.0148281264991411,-0.028412210078992,-0.0407440335329417,-0.0533136003518454,-0.0670282796162586,-0.0828212734723743,-0.1021160061242104,-0.1276786676940348,-0.1652077410389789,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
50,14779.786040099589,0.0095878964332932,-0.0052362251850332,-0.0036783548534345,0.0056327634192857,0.0124190660808235,0.018605271649088,0.0249591972556596,0.0318278554447895,0.0392172902998784,0.0463159820404315,0.0498350992367354,0.0400777187033891,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
52,-7927.468078439145,0.0097676621859059,-0.0078264075247932,-0.0009385327709925,0.0077829629337357,0.0141551859912579,0.02007618282843,0.0262012166095062,0.0328601064918253,0.0401915543743894,0.0479390987022035,0.0546748109746452,0.0560845068498764,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
54,-6878.41495495754,-0.0227603799551116,0.0128520631531834,0.003917447269415,-0.0148223949577296,-0.0284058959000903,-0.0407368704486859,-0.0533054194514095,-0.0670189365476044,-0.0828106242652541,-0.1021039022598202,-0.127664972186955,-0.1651923739895632,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
56,14774.03725464714,0.0095767273066779,-0.0053093822392999,-0.0037634868989545,0.0055470181888913,0.0123242688611348,0.0184979552701815,0.0248373048074484,0.0316895532718883,0.0390601831003598,0.0461358097644643,0.0496226860700117,0.0398127903002189,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
58,-7927.11798802988,0.0097582963789712,-0.0079107201189996,-0.001020766144179,0.0076993231604525,0.0140617217066421,0.0199695715837668,0.0260793600184163,0.0327211050374538,0.0400331535918427,0.0477579422256883,0.0544648326786108,0.0558337116515062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
